Nombre,Referencia interna,Precio de venta,Tipo,Peso Kg,Tipo pallet,Medida pallet,TARIC (HS),Nombre EN-US
Valla alu puerta antigua,A00037,1,consu,17.6,,,,Barrier alu old gate
500 Tapones Lite,A00122,200,consu,1.0,Accesorios,1.20x0.80,3923.50.90.00,500 LITE Plastic Plugs
500 Tapones PRO,A00006,200,consu,1.9,Accesorios,1.20x0.80,3923.50.90.00,500 Plastic PRO Plugs
500 Tapones PRO 4T18,A00220,1,consu,500,Accesorios,1.20x0.80,,500 Tapones PRO 4T18
500 Tapones PRO 4T20,A00222,1,consu,500,Accesorios,1.20x0.80,,500 Tapones PRO 4T20
500 Tapones PRO RM18,A00219,1,consu,500,Accesorios,1.20x0.80,,500 Tapones PRO RM18
"50m Tela negra 1,20 cm",A00440,0,consu,0.0,,,,50m Black cloth 120cm
50m Tela negra 60 cm,A00438,0,consu,0.0,,,,50m Black cloth 60cm
50m Tela negra 90 cm,A00439,0,consu,0.0,,,,50m Black cloth 90cm
ADUANAS,A00119,0,service,0.0,,,,Customs
AFILADORA SPARX,A00493,1,consu,0.0,,,,AFILADORA SPARX
Accesorios plásticos para pistas de patinaje,A00496,1,consu,0.0,,,,Plastic accessories skating rink
Afiladora Xtraice,A00079,"2.990,00",consu,38.0,Accesorios,1.20x0.80,8460.31.00.00,Xtraice Sharpener Machine
Afiladora Xtraice 1001,A00127,1,consu,32.0,Accesorios,1.20x0.80,8460.31.00.00,Afiladora Xtraice 1001
Afiladora Xtraice ONE,A00128,1,consu,32.0,Accesorios,1.20x0.80,8460.31.00.00,Afiladora Xtraice ONE
Afiladora doble Xtraice 110V,A00475,"4.995,00",consu,38.0,Accesorios,1.20x0.80,8460.31.00.00,Double Skate Sharpener 110V
Afiladora doble Xtraice 220V,A00364,"5.000,00",consu,38.0,Accesorios,1.20x0.80,8460.31.00.00,Double Skate Sharpener 220V
Alargadores,A00250,1,consu,0.0,,,85.36.90.85,Extension cord
Alquiler Caseta,A00279,1,service,0.0,,,,Alquiler Caseta
Alquiler Diana de Curling + 8 piedras Pro,,"1.750,00",service,,,,,
Alquiler Pista de Hielo,A00258,0,service,0.0,,,,Ice rink rental
Alquiler de Mini-Tobogán (2 carriles),,1,service,,,,,
Alquiler de Tobogán,,1,service,,,,,
Alquiler de Tobogán,A00400,1,service,0.0,,,,Rental slope
Alquiler diana de curling + 8 piedras,A00503,1,service,,,,,
Altavoces,A00245,275,consu,8.0,,,85.18.21.00,Speakers
Amplificador,A00243,420,consu,9.0,,,85.18.40,Amplifier
Andadores,A00234,30,consu,2.0,Accesorios,1.20x0.80,95.06.99.90,Skating aids
App Xtraice Licencia,A00345,1,service,0.0,,,,App Xtraice licencia
App Xtraice licencia,,0,consu,,,,,
Arbol de navidad,A00469,"6.500,00",consu,0.0,,,,Christmas tree
Arbol de navidad 1950x900,A00052,1,consu,12.0,,,,Xmas tree 1950 x 900 cm
Ardilla,A00362,1,consu,4.0,,,9503.00.49.90,Chipmunk
Asesoramiento digital,A00494,1,service,0.0,,,,Asesoramiento digital
Aspiradora,A00080,100,consu,11.0,Accesorios,1.20x0.80,8508.11.00,Vacuum
Aspiradora 110-120v 60Hz,A00476,100,consu,0.0,,,8508.11.00,Vacuum 110v-120v 60hz
Bordes curling de hielo sintético (metro lineal),A00601,140,service,0.0,,,,Curling boards (linear meter)
Bordes de madera para curling (Metro Lineal),A00505,50,service,0.0,,,,Curling wooden frames (lineal meter)
Bancos,A00081,215,consu,13.4,Accesorios,1.20x0.80,9401.69.00.00,Bench
Barras para desmontaje tapones,A00461,0,consu,2.0,,,,̈
Base silla de ruedas (PMR Wheelchair),A00507,1,consu,0.0,,,,Base silla de ruedas (PMR Wheelchair)
Bobinas de fleje,,1,consu,,,,,
Bobinas de fleje,A00283,1,consu,0.0,,,,Bobinas de fleje
Borrador Paneles,,1,consu,,,,,
Cable electrico 10,A00326,0,consu,0.5,Accesorios,1.20x0.80,85.44.49,Electric Cable 10
Cable electrico 15,A00328,0,consu,0.75,Accesorios,1.20x0.80,85.44.49,Electric Cable 15
Cable electrico 20,A00329,0,consu,1.0,Accesorios,1.20x0.80,85.44.49,Electric Cable 20
Cable electrico 24,A00330,1,consu,0.0,Accesorios,1.20x0.80,,Cable electrico 24
Cable electrico 25,A00331,0,consu,1.25,Accesorios,1.20x0.80,85.44.49,Electric Cable 25
Cable electrico 30,A00332,0,consu,1.5,Accesorios,1.20x0.80,85.44.49,Electric Cable 30
Cable electrico 35,A00333,0,consu,1.75,Accesorios,1.20x0.80,85.44.49,Electric Cable 35
Cable electrico 38,A00334,0,consu,1.82,Accesorios,1.20x0.80,85.44.49,Electric Cable 38
Cable electrico 40,A00335,0,consu,2.0,Accesorios,1.20x0.80,85.44.49,Electric Cable 40
Cable electrico 42,A00336,1,consu,2.2,Accesorios,1.20x0.80,85.44.49,Cable electrico 42
Cable electrico 45,A00337,0,consu,2.25,Accesorios,1.20x0.80,85.44.49,Electric Cable 45
Cable electrico 48,A00338,1,consu,2.32,Accesorios,1.20x0.80,85.44.49,Cable electrico 48
Cable electrico 49,A00339,1,consu,0.0,Accesorios,1.20x0.80,,Cable electrico 49
Cable electrico 50,A00340,0,consu,2.5,Accesorios,1.20x0.80,85.44.49,Electric Cable 50
